digits,noise_type,hum,target_snr_db,measured_snr_db,path,decoded,digit_acc,seq_acc
123,mixed,False,-5,-5.0,test_wavs\test_123_mixed_snr-5.wav,123,1.0,True
123,white,True,30,29.58,test_wavs\test_123_white_hum_snr30.wav,123,1.0,True
123,white,True,25,24.58,test_wavs\test_123_white_hum_snr25.wav,123,1.0,True
123,white,True,20,19.56,test_wavs\test_123_white_hum_snr20.wav,123,1.0,True
123,white,True,15,14.55,test_wavs\test_123_white_hum_snr15.wav,123,1.0,True
123,white,True,10,9.6,test_wavs\test_123_white_hum_snr10.wav,123,1.0,True
123,white,True,5,4.52,test_wavs\test_123_white_hum_snr5.wav,123,1.0,True
123,white,True,0,-0.37,test_wavs\test_123_white_hum_snr0.wav,123,1.0,True
123,white,True,-5,-5.45,test_wavs\test_123_white_hum_snr-5.wav,123,1.0,True
123,tonal,False,30,30.0,test_wavs\test_123_tonal_snr30.wav,123,1.0,True
123,tonal,False,25,25.0,test_wavs\test_123_tonal_snr25.wav,123,1.0,True
123,tonal,False,20,20.0,test_wavs\test_123_tonal_snr20.wav,123,1.0,True
123,tonal,False,15,15.0,test_wavs\test_123_tonal_snr15.wav,123,1.0,True
123,tonal,False,10,10.0,test_wavs\test_123_tonal_snr10.wav,123,1.0,True
123,tonal,False,5,5.0,test_wavs\test_123_tonal_snr5.wav,123,1.0,True
123,tonal,False,0,0.0,test_wavs\test_123_tonal_snr0.wav,123,1.0,True
123,tonal,False,-5,-5.0,test_wavs\test_123_tonal_snr-5.wav,123,1.0,True
0,clean,False,,,test_wavs\test_0_clean.wav,0,1.0,True
0,white,False,30,30.0,test_wavs\test_0_white_snr30.wav,0,1.0,True
0,white,False,25,25.0,test_wavs\test_0_white_snr25.wav,0,1.0,True
0,white,False,20,20.0,test_wavs\test_0_white_snr20.wav,0,1.0,True
0,white,False,15,15.0,test_wavs\test_0_white_snr15.wav,0,1.0,True
0,white,False,10,10.0,test_wavs\test_0_white_snr10.wav,0,1.0,True
0,white,False,5,5.0,test_wavs\test_0_white_snr5.wav,0,1.0,True
0,white,False,0,0.0,test_wavs\test_0_white_snr0.wav,0,1.0,True
0,white,False,-5,-5.0,test_wavs\test_0_white_snr-5.wav,0,1.0,True
0,hiss,False,30,30.0,test_wavs\test_0_hiss_snr30.wav,0,1.0,True
0,hiss,False,25,25.0,test_wavs\test_0_hiss_snr25.wav,0,1.0,True
0,hiss,False,20,20.0,test_wavs\test_0_hiss_snr20.wav,0,1.0,True
0,hiss,False,15,15.0,test_wavs\test_0_hiss_snr15.wav,0,1.0,True
0,hiss,False,10,10.0,test_wavs\test_0_hiss_snr10.wav,0,1.0,True
0,hiss,False,5,5.0,test_wavs\test_0_hiss_snr5.wav,0,1.0,True
0,hiss,False,0,0.0,test_wavs\test_0_hiss_snr0.wav,0,1.0,True
0,hiss,False,-5,-5.0,test_wavs\test_0_hiss_snr-5.wav,0,1.0,True
0,mixed,False,30,30.0,test_wavs\test_0_mixed_snr30.wav,0,1.0,True
0,mixed,False,25,25.0,test_wavs\test_0_mixed_snr25.wav,0,1.0,True
0,mixed,False,20,20.0,test_wavs\test_0_mixed_snr20.wav,0,1.0,True
0,mixed,False,15,15.0,test_wavs\test_0_mixed_snr15.wav,0,1.0,True
0,mixed,False,10,10.0,test_wavs\test_0_mixed_snr10.wav,0,1.0,True
0,mixed,False,5,5.0,test_wavs\test_0_mixed_snr5.wav,0,1.0,True
0,mixed,False,0,0.0,test_wavs\test_0_mixed_snr0.wav,0,1.0,True
0,mixed,False,-5,-5.0,test_wavs\test_0_mixed_snr-5.wav,0,1.0,True
0,white,True,30,29.56,test_wavs\test_0_white_hum_snr30.wav,0,1.0,True
0,white,True,25,24.65,test_wavs\test_0_white_hum_snr25.wav,0,1.0,True
0,white,True,20,19.6,test_wavs\test_0_white_hum_snr20.wav,0,1.0,True
0,white,True,15,14.62,test_wavs\test_0_white_hum_snr15.wav,0,1.0,True
0,white,True,10,9.57,test_wavs\test_0_white_hum_snr10.wav,0,1.0,True
0,white,True,5,4.51,test_wavs\test_0_white_hum_snr5.wav,0,1.0,True
0,white,True,0,-0.34,test_wavs\test_0_white_hum_snr0.wav,0,1.0,True
0,white,True,-5,-5.39,test_wavs\test_0_white_hum_snr-5.wav,0,1.0,True
0,tonal,False,30,30.0,test_wavs\test_0_tonal_snr30.wav,0,1.0,True
0,tonal,False,25,25.0,test_wavs\test_0_tonal_snr25.wav,0,1.0,True
0,tonal,False,20,20.0,test_wavs\test_0_tonal_snr20.wav,0,1.0,True
0,tonal,False,15,15.0,test_wavs\test_0_tonal_snr15.wav,0,1.0,True
0,tonal,False,10,10.0,test_wavs\test_0_tonal_snr10.wav,0,1.0,True
0,tonal,False,5,5.0,test_wavs\test_0_tonal_snr5.wav,0,1.0,True
0,tonal,False,0,0.0,test_wavs\test_0_tonal_snr0.wav,0,1.0,True
0,tonal,False,-5,-5.0,test_wavs\test_0_tonal_snr-5.wav,0,1.0,True
5551234,clean,False,,,test_wavs\test_5551234_clean.wav,5551234,1.0,True
5551234,white,False,30,30.0,test_wavs\test_5551234_white_snr30.wav,5551234,1.0,True
5551234,white,False,25,25.0,test_wavs\test_5551234_white_snr25.wav,5551234,1.0,True
5551234,white,False,20,20.0,test_wavs\test_5551234_white_snr20.wav,5551234,1.0,True
5551234,white,False,15,15.0,test_wavs\test_5551234_white_snr15.wav,5551234,1.0,True
5551234,white,False,10,10.0,test_wavs\test_5551234_white_snr10.wav,5551234,1.0,True
5551234,white,False,5,5.0,test_wavs\test_5551234_white_snr5.wav,5551234,1.0,True
5551234,white,False,0,-0.0,test_wavs\test_5551234_white_snr0.wav,5551234,1.0,True
5551234,white,False,-5,-5.0,test_wavs\test_5551234_white_snr-5.wav,5551234,1.0,True
5551234,hiss,False,30,30.0,test_wavs\test_5551234_hiss_snr30.wav,5551234,1.0,True
5551234,hiss,False,25,25.0,test_wavs\test_5551234_hiss_snr25.wav,5551234,1.0,True
5551234,hiss,False,20,20.0,test_wavs\test_5551234_hiss_snr20.wav,5551234,1.0,True
5551234,hiss,False,15,15.0,test_wavs\test_5551234_hiss_snr15.wav,5551234,1.0,True
5551234,hiss,False,10,10.0,test_wavs\test_5551234_hiss_snr10.wav,5551234,1.0,True
5551234,hiss,False,5,5.0,test_wavs\test_5551234_hiss_snr5.wav,5551234,1.0,True
5551234,hiss,False,0,-0.0,test_wavs\test_5551234_hiss_snr0.wav,5551234,1.0,True
5551234,hiss,False,-5,-5.0,test_wavs\test_5551234_hiss_snr-5.wav,5551234,1.0,True
5551234,mixed,False,30,30.0,test_wavs\test_5551234_mixed_snr30.wav,5551234,1.0,True
5551234,mixed,False,25,25.0,test_wavs\test_5551234_mixed_snr25.wav,5551234,1.0,True
5551234,mixed,False,20,20.0,test_wavs\test_5551234_mixed_snr20.wav,5551234,1.0,True
5551234,mixed,False,15,15.0,test_wavs\test_5551234_mixed_snr15.wav,5551234,1.0,True
5551234,mixed,False,10,10.0,test_wavs\test_5551234_mixed_snr10.wav,5551234,1.0,True
5551234,mixed,False,5,5.0,test_wavs\test_5551234_mixed_snr5.wav,5551234,1.0,True
5551234,mixed,False,0,0.0,test_wavs\test_5551234_mixed_snr0.wav,5551234,1.0,True
5551234,mixed,False,-5,-5.0,test_wavs\test_5551234_mixed_snr-5.wav,5551234,1.0,True
5551234,white,True,30,29.58,test_wavs\test_5551234_white_hum_snr30.wav,5551234,1.0,True
5551234,white,True,25,24.57,test_wavs\test_5551234_white_hum_snr25.wav,5551234,1.0,True
5551234,white,True,20,19.56,test_wavs\test_5551234_white_hum_snr20.wav,5551234,1.0,True
5551234,white,True,15,14.58,test_wavs\test_5551234_white_hum_snr15.wav,5551234,1.0,True
5551234,white,True,10,9.58,test_wavs\test_5551234_white_hum_snr10.wav,5551234,1.0,True
5551234,white,True,5,4.59,test_wavs\test_5551234_white_hum_snr5.wav,5551234,1.0,True
5551234,white,True,0,-0.4,test_wavs\test_5551234_white_hum_snr0.wav,5551234,1.0,True
5551234,white,True,-5,-5.42,test_wavs\test_5551234_white_hum_snr-5.wav,5551234,1.0,True
5551234,tonal,False,30,30.0,test_wavs\test_5551234_tonal_snr30.wav,5551234,1.0,True
5551234,tonal,False,25,25.0,test_wavs\test_5551234_tonal_snr25.wav,5551234,1.0,True
5551234,tonal,False,20,20.0,test_wavs\test_5551234_tonal_snr20.wav,5551234,1.0,True
5551234,tonal,False,15,15.0,test_wavs\test_5551234_tonal_snr15.wav,5551234,1.0,True
5551234,tonal,False,10,10.0,test_wavs\test_5551234_tonal_snr10.wav,5551234,1.0,True
